org	repo	visibility	default_branch	updated_at
Blackbox-Enterprises	.github	public	main	2026-03-25T20:26:33Z
Blackbox-Enterprises	blackbox-n8n	private	main	2026-03-25T20:27:17Z
Blackbox-Enterprises	blackbox-airbyte	private	main	2026-03-25T20:27:11Z
Blackbox-Enterprises	blackbox-prefect	private	main	2026-03-25T20:26:43Z
Blackbox-Enterprises	blackbox-temporal	private	main	2026-03-25T20:27:07Z
Blackbox-Enterprises	blackbox-activepieces	private	main	2026-03-25T20:27:02Z
Blackbox-Enterprises	blackbox-huginn	private	main	2026-03-25T20:26:59Z
Blackbox-Enterprises	blackbox-enterprises.github.io	public	main	2026-03-25T20:26:48Z
Blackbox-Enterprises	source	public	main	2026-03-25T20:27:22Z
Blackbox-Enterprises	operator	public	main	2026-03-25T20:27:19Z
Blackbox-Enterprises	RoadCode	public	main	2026-03-25T20:26:28Z
Blackbox-Enterprises	source-code	private	main	2026-03-25T20:26:54Z
Blackbox-Enterprises	README	private	main	2026-03-25T20:26:52Z
Blackbox-Enterprises	blackboxprogramming.io	public	main	2026-03-25T20:26:35Z
Blackbox-Enterprises	demo-repository	private	main	2026-03-25T20:26:40Z
BlackRoad-AI	BlackRoad.io	private	main	2026-03-26T00:59:22Z
BlackRoad-AI	lucidia-lab	public	main	2026-03-26T01:00:25Z
BlackRoad-AI	blackroad-plans	private	main	2026-03-26T00:59:17Z
BlackRoad-AI	urban-goggles	private	chore/org-baseline	2026-03-26T01:01:41Z
BlackRoad-AI	nextjs-ai-chatbot	public	main	2026-03-26T01:46:00Z
BlackRoad-AI	lucidia-core	public	main	2026-03-26T01:46:04Z
BlackRoad-AI	lucidia-math	public	main	2026-03-26T01:00:33Z
BlackRoad-AI	lucidia-earth	public	master	2026-03-26T01:00:20Z
BlackRoad-AI	lucidia-metaverse	public	master	2026-03-26T01:00:37Z
BlackRoad-AI	blackroad-os-lucidia-lab	public	main	2026-03-26T00:59:16Z
BlackRoad-AI	lucidia-studio	public	master	2026-03-26T01:00:48Z
BlackRoad-AI	lucidiaqi-com	public	master	2026-03-26T01:01:00Z
BlackRoad-AI	lucidia-blackroadio	public	master	2026-03-26T01:00:05Z
BlackRoad-AI	inference-blackroadio	public	master	2026-03-26T01:46:14Z
BlackRoad-AI	embeddings-blackroad-io	public	master	2026-03-26T00:59:40Z
BlackRoad-AI	lucidia-living-world	public	main	2026-03-26T01:00:27Z
BlackRoad-AI	lucidia-minnesota-game	public	main	2026-03-26T01:00:39Z
BlackRoad-AI	lucidia-wilderness	public	main	2026-03-26T01:00:51Z
BlackRoad-AI	blackroad-ai-qwen	public	master	2026-03-26T00:59:00Z
BlackRoad-AI	blackroad-ai-deepseek	public	main	2026-03-26T00:58:50Z
BlackRoad-AI	blackroad-ai-ollama	public	master	2026-03-26T00:58:58Z
BlackRoad-AI	blackroad-ai-api-gateway	public	master	2026-03-26T00:58:45Z
BlackRoad-AI	blackroad-ai-cluster	public	main	2026-03-26T00:58:48Z
BlackRoad-AI	blackroad-ai-memory-bridge	public	main	2026-03-26T00:58:54Z
BlackRoad-AI	lucidia-platform	public	main	2026-03-26T01:00:44Z
BlackRoad-AI	lucidia-ai-models	public	main	2026-03-26T00:59:59Z
BlackRoad-AI	lucidia-ai-models-enhanced	public	master	2026-03-26T01:00:02Z
BlackRoad-AI	lucidia-3d-wilderness	public	master	2026-03-26T00:59:55Z
BlackRoad-AI	lucidia-command-center	public	master	2026-03-26T01:00:16Z
BlackRoad-AI	blackroad-llm-fine-tuner	public	main	2026-03-26T00:59:11Z
BlackRoad-AI	blackroad-ai-model-optimizer	public	main	2026-03-26T00:58:56Z
BlackRoad-AI	blackroad-ai-inference-accelerator	public	main	2026-03-26T00:58:53Z
BlackRoad-AI	blackroad-llm-embeddings	public	main	2026-03-26T00:59:08Z
BlackRoad-AI	.github	public	main	2026-03-26T20:29:57Z
BlackRoad-AI	lucidia-agents	public	claude/claude-md-mkr74snvb1ha0sv7-dHAKu	2026-03-26T01:46:06Z
BlackRoad-AI	lucidia-chat	public	main	2026-03-26T01:46:08Z
BlackRoad-AI	lucidia-workspace	public	main	2026-03-26T01:00:54Z
BlackRoad-AI	blackroad-vllm-mvp	private	main	2026-03-26T00:59:20Z
BlackRoad-AI	vllm-deployment	public	main	2026-03-26T01:46:16Z
BlackRoad-AI	ollama-models	public	main	2026-03-26T01:45:56Z
